workerid,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.time_in_minutes
0,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3FTOP5WARFP1TZMLA34FAT5B50S0JQ,0,Approved,Tue Jun 23 07:17:46 CEST 2015,Mon Jun 22 14:35:47 CEST 2015,Mon Jun 22 14:37:46 CEST 2015,Mon Jun 22 17:53:12 CEST 2015,,,,,[],{},1.4009666666666667
1,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,36AHBNMV1RDLN8IE8FTDZN4ICT9YDA,1,Approved,Tue Jun 23 07:18:38 CEST 2015,Mon Jun 22 14:36:46 CEST 2015,Mon Jun 22 14:38:38 CEST 2015,Mon Jun 22 17:53:12 CEST 2015,,,,,[],{},1.82815
2,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,33L7PJKHCGZDPRNTH1VY5EY2M0UT8A,2,Approved,Tue Jun 23 07:18:43 CEST 2015,Mon Jun 22 14:36:29 CEST 2015,Mon Jun 22 14:38:43 CEST 2015,Mon Jun 22 17:53:12 CEST 2015,,,,,[],{},2.1849166666666666
3,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3QY5DC2MXRL14JC5PKREK21QSIEFU4,3,Approved,Tue Jun 23 07:18:54 CEST 2015,Mon Jun 22 14:36:52 CEST 2015,Mon Jun 22 14:38:54 CEST 2015,Mon Jun 22 17:53:12 CEST 2015,,,,,[],{},1.96775
4,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3L70J4KAZGNKRQKBS9FXW1MB926ADC,4,Approved,Tue Jun 23 07:19:29 CEST 2015,Mon Jun 22 14:36:54 CEST 2015,Mon Jun 22 14:39:29 CEST 2015,Mon Jun 22 17:53:12 CEST 2015,,,,,[],{},2.5523833333333332
5,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3OLF68YTN92HPAY7JFANK1PWLFMAFN,5,Approved,Tue Jun 23 07:19:39 CEST 2015,Mon Jun 22 14:37:09 CEST 2015,Mon Jun 22 14:39:39 CEST 2015,Mon Jun 22 17:53:12 CEST 2015,,,,,[],{},1.9384
6,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,32ZKVD547FORS8N65Y9HE3K5073B3B,6,Approved,Tue Jun 23 07:19:48 CEST 2015,Mon Jun 22 14:37:14 CEST 2015,Mon Jun 22 14:39:48 CEST 2015,Mon Jun 22 17:53:13 CEST 2015,,,,,[],{},2.4779666666666667
7,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3SNVL38CI4TGYBNJ44XB697PTEOCKT,7,Approved,Tue Jun 23 07:19:58 CEST 2015,Mon Jun 22 14:35:46 CEST 2015,Mon Jun 22 14:39:58 CEST 2015,Mon Jun 22 17:53:13 CEST 2015,,,,,[],{},3.1680166666666665
8,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3GA6AFUKOOP1JLQS5QJD0EN3VK83HJ,8,Approved,Tue Jun 23 07:19:58 CEST 2015,Mon Jun 22 14:38:12 CEST 2015,Mon Jun 22 14:39:58 CEST 2015,Mon Jun 22 17:53:13 CEST 2015,,,,,[],{},1.7280833333333334
9,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3TY7ZAOG5FLW4JS3SO4RB85OKPS0KP,9,Approved,Tue Jun 23 07:20:40 CEST 2015,Mon Jun 22 14:36:33 CEST 2015,Mon Jun 22 14:40:40 CEST 2015,Mon Jun 22 17:53:13 CEST 2015,,,,,[],{},3.047433333333333
10,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,339ANSOTR537BE9JWETXHC5K6J8IK1,10,Approved,Tue Jun 23 07:21:12 CEST 2015,Mon Jun 22 14:35:55 CEST 2015,Mon Jun 22 14:41:12 CEST 2015,Mon Jun 22 17:53:13 CEST 2015,,,,,[],{},4.564416666666666
11,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3PXX5PX6LXZRCTMREDOR1BYB6HUAB5,11,Approved,Tue Jun 23 07:21:30 CEST 2015,Mon Jun 22 14:36:04 CEST 2015,Mon Jun 22 14:41:30 CEST 2015,Mon Jun 22 17:53:14 CEST 2015,,,,,[],{},5.352266666666667
12,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3S96KQ6I9M5P6MJKY96ER6C3XRRTDG,12,Approved,Tue Jun 23 07:21:43 CEST 2015,Mon Jun 22 14:39:28 CEST 2015,Mon Jun 22 14:41:43 CEST 2015,Mon Jun 22 17:53:14 CEST 2015,,,,,[],{},2.2131833333333333
