workerid,american,age,language,comments
0,Yes,27,English,
1,Yes,41,english,
2,Yes,24,english,
3,Yes,28,english,thanks
4,Yes,26,English,
5,Yes,49,english,
6,Yes,39,english,
7,Yes,22,English,Thanks!
8,Yes,33,english,
9,Yes,24,english,great study
10,Yes,32,english,
11,Yes,32,english,none thank you
12,Yes,20,egnlish,
13,Yes,29,English,
14,Yes,26,english,
15,Yes,20,English,
16,Yes,22,English,
17,Yes,29,English,
18,Yes,34,english,
19,Yes,36,English,Thanks!
20,Yes,21,English,
21,Yes,30,English,
22,Yes,25,english,
23,Yes,30,English,
24,Yes,23,English,
25,Yes,39,english,
26,Yes,34,english,
27,Yes,23,English,
28,Yes,43,English,
29,Yes,27,english,
30,Yes,28,english,
31,Yes,62,English,"In a casual conversation between two people who know each other well, some things can be implied by tone or body language without it actually being said. I just wanted to say that because my impression was that these small pieces of a conversation were between people who were close to each other."
32,Yes,33,english,
33,Yes,32,English,Good survey.
34,Yes,35,English,
35,Yes,18,english,
36,Yes,41,English,Thanks
37,Yes,33,English,
38,Yes,35,english,thx
39,Yes,34,English,
40,Yes,33,English,
41,Yes,24,English,
42,Yes,27,English,
43,Yes,21,english,
44,Yes,24,English,
45,Yes,22,English,
46,Yes,33,English,
47,Yes,35,english,n/a
48,Yes,30,English,Thank You!
49,Yes,28,English,
50,Yes,39,english,
51,Yes,21,English,
52,Yes,24,English,
53,Yes,36,english,
54,Yes,28,English,
55,Yes,32,English,
56,Yes,46,English,none at this time
57,Yes,20,English,
58,Yes,33,English,
59,Yes,21,English,
60,Yes,27,English,
61,Yes,23,english,
62,Yes,27,English,
63,Yes,30,English,"I worked very hard on this HIT, and I didn&quotechart see any questions meant to see if I was paying attention.  I hope I didn&quotechart somehow miss any, because I assure you that I was paying attention."
64,Yes,24,English,
65,NA,26,Korean,
66,Yes,28,English,
67,Yes,46,English,
68,Yes,44,English,I interpreted several conversations as being able to be answered in different ways.
69,Yes,54,english,
70,Yes,33,English,
71,Yes,32,English,
72,Yes,33,English,
73,Yes,28,English,"Very interesting, thank you."
74,Yes,35,english,
75,Yes,25,English,None
76,Yes,40,english,
77,Yes,39,English,
78,Yes,25,English,
79,Yes,25,English,nice survey!
80,Yes,34,English,Thanks!
81,Yes,21,english,
82,Yes,22,English,
83,Yes,34,Engish,
84,Yes,35,English,"No problems, thanks!"
85,Yes,43,English,
86,Yes,59,English,The sentence structure is artificial and somewhat confusing.
87,Yes,26,english,
88,Yes,28,English,
89,Yes,20,English,I have no comments.
90,Yes,26,English,
91,Yes,27,English,
