workerid,rt,content,trigger,short_trigger,trigger_class,response,block,slide_number_in_experiment,american,age,language,comments,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.time_in_minutes
0,6757,chili,MC2,MC,NonProj,1,block1,3,Yes,27,English,,Windows,540,960,Firefox,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3FTOP5WARFP1TZMLA34FAT5B50S0JQ,0,Approved,Tue Jun 23 07:17:46 CEST 2015,Mon Jun 22 14:35:47 CEST 2015,Mon Jun 22 14:37:46 CEST 2015,Mon Jun 22 17:53:12 CEST 2015,,,,,[],{},1.4009666666666667
0,8129,ditch,is_annoyed,is_annoyed,C,0,block1,4,Yes,27,English,,Windows,540,960,Firefox,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3FTOP5WARFP1TZMLA34FAT5B50S0JQ,0,Approved,Tue Jun 23 07:17:46 CEST 2015,Mon Jun 22 14:35:47 CEST 2015,Mon Jun 22 14:37:46 CEST 2015,Mon Jun 22 17:53:12 CEST 2015,,,,,[],{},1.4009666666666667
0,11811,pool,is_aware,is_aware,C,0,block1,5,Yes,27,English,,Windows,540,960,Firefox,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3FTOP5WARFP1TZMLA34FAT5B50S0JQ,0,Approved,Tue Jun 23 07:17:46 CEST 2015,Mon Jun 22 14:35:47 CEST 2015,Mon Jun 22 14:37:46 CEST 2015,Mon Jun 22 17:53:12 CEST 2015,,,,,[],{},1.4009666666666667
0,3325,tea,MC8,MC,NonProj,1,block1,6,Yes,27,English,,Windows,540,960,Firefox,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3FTOP5WARFP1TZMLA34FAT5B50S0JQ,0,Approved,Tue Jun 23 07:17:46 CEST 2015,Mon Jun 22 14:35:47 CEST 2015,Mon Jun 22 14:37:46 CEST 2015,Mon Jun 22 17:53:12 CEST 2015,,,,,[],{},1.4009666666666667
0,3125,bmw,MC5,MC,NonProj,1,block1,7,Yes,27,English,,Windows,540,960,Firefox,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3FTOP5WARFP1TZMLA34FAT5B50S0JQ,0,Approved,Tue Jun 23 07:17:46 CEST 2015,Mon Jun 22 14:35:47 CEST 2015,Mon Jun 22 14:37:46 CEST 2015,Mon Jun 22 17:53:12 CEST 2015,,,,,[],{},1.4009666666666667
0,3474,damp,discovered,discovered,C,0,block1,8,Yes,27,English,,Windows,540,960,Firefox,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3FTOP5WARFP1TZMLA34FAT5B50S0JQ,0,Approved,Tue Jun 23 07:17:46 CEST 2015,Mon Jun 22 14:35:47 CEST 2015,Mon Jun 22 14:37:46 CEST 2015,Mon Jun 22 17:53:12 CEST 2015,,,,,[],{},1.4009666666666667
0,2134,nails,MC4,MC,NonProj,1,block1,9,Yes,27,English,,Windows,540,960,Firefox,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3FTOP5WARFP1TZMLA34FAT5B50S0JQ,0,Approved,Tue Jun 23 07:17:46 CEST 2015,Mon Jun 22 14:35:47 CEST 2015,Mon Jun 22 14:37:46 CEST 2015,Mon Jun 22 17:53:12 CEST 2015,,,,,[],{},1.4009666666666667
0,2238,frisbee,is_amused,is_amused,C,0,block1,10,Yes,27,English,,Windows,540,960,Firefox,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3FTOP5WARFP1TZMLA34FAT5B50S0JQ,0,Approved,Tue Jun 23 07:17:46 CEST 2015,Mon Jun 22 14:35:47 CEST 2015,Mon Jun 22 14:37:46 CEST 2015,Mon Jun 22 17:53:12 CEST 2015,,,,,[],{},1.4009666666666667
0,3018,horse,confessed,confessed,C,0,block1,11,Yes,27,English,,Windows,540,960,Firefox,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3FTOP5WARFP1TZMLA34FAT5B50S0JQ,0,Approved,Tue Jun 23 07:17:46 CEST 2015,Mon Jun 22 14:35:47 CEST 2015,Mon Jun 22 14:37:46 CEST 2015,Mon Jun 22 17:53:12 CEST 2015,,,,,[],{},1.4009666666666667
0,2155,poodle,MC1,MC,NonProj,1,block1,12,Yes,27,English,,Windows,540,960,Firefox,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3FTOP5WARFP1TZMLA34FAT5B50S0JQ,0,Approved,Tue Jun 23 07:17:46 CEST 2015,Mon Jun 22 14:35:47 CEST 2015,Mon Jun 22 14:37:46 CEST 2015,Mon Jun 22 17:53:12 CEST 2015,,,,,[],{},1.4009666666666667
