date,workerid,amount
Mon Jun 22 14:37:46 CEST 2015,A2541C8MY0BYV3,0.3
Mon Jun 22 14:38:38 CEST 2015,AG8FPQJHF5NTA,0.3
Mon Jun 22 14:38:43 CEST 2015,A1EB857G7CK9K9,0.3
Mon Jun 22 14:38:54 CEST 2015,A1NKBXOTZAI1YK,0.3
Mon Jun 22 14:39:29 CEST 2015,A24ZKEJTS1O4IW,0.3
Mon Jun 22 14:39:39 CEST 2015,A3N8JP3QR3VPE8,0.3
Mon Jun 22 14:39:48 CEST 2015,A1OK974KXKO6FJ,0.3
Mon Jun 22 14:39:58 CEST 2015,A90JBLDKW71DX,0.3
Mon Jun 22 14:39:58 CEST 2015,A2JCK494NV7TFX,0.3
Mon Jun 22 14:40:40 CEST 2015,A1WRYUFOYFF8QO,0.3
Mon Jun 22 14:41:12 CEST 2015,A1IBMAA9GE3CJF,0.3
Mon Jun 22 14:41:30 CEST 2015,AZEIJAF7W81IX,0.3
Mon Jun 22 14:41:43 CEST 2015,A23DXTX9VYNIX6,0.3
Mon Jun 22 14:42:28 CEST 2015,A1KGCOR8OXYR72,0.3
Mon Jun 22 14:42:40 CEST 2015,A5EU1AQJNC7F2,0.3
Mon Jun 22 14:42:46 CEST 2015,A1UU6W7EDFNGSD,0.3
Mon Jun 22 14:42:54 CEST 2015,A217W59SA6LZSR,0.3
Mon Jun 22 14:42:57 CEST 2015,A1HU9IOTYXB4YY,0.3
Mon Jun 22 14:43:12 CEST 2015,AIM6UIPPVF05M,0.3
Mon Jun 22 14:43:30 CEST 2015,A2RVGB8A6RK6AJ,0.3
Mon Jun 22 14:43:44 CEST 2015,AZ0QMZVD2Z4JV,0.3
Mon Jun 22 14:43:53 CEST 2015,A34AC73I1RITRZ,0.3
Mon Jun 22 14:43:53 CEST 2015,A1ARETSHXNFNSH,0.3
Mon Jun 22 14:43:57 CEST 2015,ARSZW10BK7E3E,0.3
Mon Jun 22 14:43:59 CEST 2015,A275NH66G89TSS,0.3
Mon Jun 22 14:44:22 CEST 2015,A30QJF394U1VRY,0.3
Mon Jun 22 14:44:25 CEST 2015,A2J9RNKXNLRKVC,0.3
Mon Jun 22 14:44:27 CEST 2015,A23TQQBMP0WE0X,0.3
