verb,mean_proj,CILow,CIHigh,projMin,projMax,Verb
acknowledge,0.71208480565371,0.0371386925795053,0.0368648409893992,0.674946113074205,0.748949646643109,acknowledge
admit,0.647279151943463,0.0390830388692579,0.0356201413427563,0.608196113074205,0.682899293286219,admit
announce,0.574628975265018,0.0356316254416961,0.0359832155477032,0.538997349823322,0.610612190812721,announce
be_annoyed,0.859081272084806,0.0258047703180212,0.0236060070671378,0.833276501766784,0.882687279151943,be_annoyed
be_right,0.198621908127208,0.0258100706713781,0.0279893992932862,0.17281183745583,0.226611307420495,be_right
confess,0.626254416961131,0.0375671378091872,0.0388436395759717,0.588687279151944,0.665098056537102,confess
confirm,0.349646643109541,0.0323365724381626,0.0335697879858657,0.317310070671378,0.383216431095406,confirm
demonstrate,0.484628975265018,0.0384814487632509,0.0347773851590105,0.446147526501767,0.519406360424028,demonstrate
discover,0.763109540636042,0.0315609540636043,0.0299001766784452,0.731548586572438,0.793009717314488,discover
establish,0.365017667844523,0.0347729681978799,0.033851590106007,0.330244699646643,0.39886925795053,establish
hear,0.733109540636042,0.0327093639575972,0.0339991166077739,0.700400176678445,0.767108657243816,hear
inform,0.788657243816254,0.0330079505300354,0.0285874558303887,0.755649293286219,0.817244699646643,inform
know,0.840671378091873,0.028339222614841,0.0268939929328622,0.812332155477032,0.867565371024735,know
pretend,0.166077738515901,0.0226554770318022,0.0257667844522968,0.143422261484099,0.191844522968198,pretend
prove,0.307809187279152,0.0297252650176679,0.0294743816254417,0.278083922261484,0.337283568904594,prove
reveal,0.688374558303887,0.0347031802120141,0.0367146643109539,0.653671378091873,0.725089222614841,reveal
say,0.253922261484099,0.0287685512367491,0.0299125441696113,0.22515371024735,0.28383480565371,say
see,0.794840989399293,0.0334646643109541,0.0299664310954063,0.761376325088339,0.8248074204947,see
suggest,0.237667844522968,0.0287685512367491,0.027386925795053,0.208899293286219,0.265054770318021,suggest
think,0.204840989399293,0.0237818021201414,0.0246678445229682,0.181059187279152,0.229508833922261,think
