"","workerid","rt","subjectGender","speakerGender","content","verb","fact","fact_type","contentNr","trigger_class","response","slide_number_in_experiment","age","language","assess","american","gender","comments","Answer.time_in_minutes"
"1",0,14814,"M","F","Josie went on vacation to France","discover","Josie doesn&quotechart have a passport","factL","2","NonProj",0,2,32,"English","Yes","m","f","",4.25455
"2",0,8145,"F","F","Danny ate the last cupcake","think","Danny loves cake","factH","11","NonProj",0.36,3,32,"English","Yes","m","f","",4.25455
"3",0,12102,"F","F","Charley speaks Spanish","inform_Sam","Charley lives in Mexico","factH","20","C",0.43,4,32,"English","Yes","m","f","",4.25455
"4",0,12519,"M","M","Mia drank 2 cocktails last night","admit","Mia is a nun","factL","6","C",0.67,5,32,"English","Yes","m","f","",4.25455
"5",0,5602,"M","F","Emma studied on Saturday morning","pretend","Emma is in law school","factH","3","NonProj",0.5,6,32,"English","Yes","m","f","",4.25455
"6",0,7883,"F","F","Jon walks to work","know","Jon lives 10 miles away from work","factL","19","NonProj",0.29,7,32,"English","Yes","m","f","",4.25455
"7",0,8385,"F","F","Julian dances salsa","reveal","Julian is German","factL","18","NonProj",0.29,8,32,"English","Yes","m","f","",4.25455
"8",0,6351,NA,"M","Vanessa is good at math","control","Vanessa won a prize at school",NA,"control4","control",0.03,9,32,"English","Yes","m","f","",4.25455
"9",0,5361,NA,"M","Zack is coming to the meeting tomorrow","control","Zack is a member of the golf club",NA,"control1","control",0,10,32,"English","Yes","m","f","",4.25455
"10",0,6016,"F","F","Tony had a drink last night","see","Tony really likes to party with his friends","factH","15","NonProj",0.68,11,32,"English","Yes","m","f","",4.25455
"11",0,14018,"M","M","Mary is pregnant","prove","Mary is a middle school student","factL","1","C",0.21,12,32,"English","Yes","m","f","",4.25455
"12",0,12515,"F","M","Jayden rented a car","demonstrate","Jayden&quotechars car is in the shop","factH","14","C",0.3,13,32,"English","Yes","m","f","",4.25455
"13",0,8361,"M","M","Emily bought a car yesterday","hear","Emily never has any money","factL","8","C",0.22,14,32,"English","Yes","m","f","",4.25455
"14",0,6198,NA,"F","Todd played football in high school","control","Todd goes to the gym 3 times a week",NA,"control3","control",0,15,32,"English","Yes","m","f","",4.25455
