"","workerid","rt","subjectGender","speakerGender","content","verb","contentNr","trigger_class","response","slide_number_in_experiment","age","language","asses","american","gender","comments","Answer.time_in_minutes"
"1",0,4508,"F","F","Jackson ran 10 miles","announce","13","C",0,5,54,"English","Yes",0,"Male","",2.72725
"2",0,5702,"F","F","Julian dances salsa","reveal","18","NonProj",0.67,6,54,"English","Yes",0,"Male","",2.72725
"3",0,4104,"F","M","Frank got a cat","establish","12","NonProj",0.79,7,54,"English","Yes",0,"Male","",2.72725
"4",0,10853,NA,"M","Vanessa locked the door","control_good","control_good4","control",0.46,8,54,"English","Yes",0,"Male","",2.72725
"5",0,3517,NA,"F","the apartment has a balcony","control_bad","control_bad2","control",0,9,54,"English","Yes",0,"Male","",2.72725
"6",0,4565,"M","M","Emma studied on Saturday morning","acknowledge","3","C",0.61,10,54,"English","Yes",0,"Male","",2.72725
"7",0,5711,"F","F","Charley speaks Spanish","prove","20","C",0.87,11,54,"English","Yes",0,"Male","",2.72725
"8",0,4311,"M","F","Grace visited her sister","be_right_that","9","C",1,12,54,"English","Yes",0,"Male","",2.72725
"9",0,4529,"F","M","Owen shoveled snow last winter","see","17","NonProj",0.63,13,54,"English","Yes",0,"Male","",2.72725
"10",0,4062,"M","F","Olivia sleeps until noon","pretend","4","NonProj",0.06,14,54,"English","Yes",0,"Male","",2.72725
"11",0,2937,NA,"F","Dana wears a wig","control_bad","control_bad1","control",0,15,54,"English","Yes",0,"Male","",2.72725
"12",0,6839,NA,"M","Zack owns a car","control_good","control_good1","control",0.91,16,54,"English","Yes",0,"Male","",2.72725
"13",0,4873,"F","F","Jayden rented a car","hear","14","C",0.1,17,54,"English","Yes",0,"Male","",2.72725
"14",0,2889,NA,"F","Sebastian did really well on the exam","control_bad","control_bad4","control",0,18,54,"English","Yes",0,"Male","",2.72725
"15",0,7885,"M","F","Mary is pregnant","confess","1","C",0.8,19,54,"English","Yes",0,"Male","",2.72725
"16",0,4025,"M","F","Josie went on vacation to France","suggest","2","C",0.1,20,54,"English","Yes",0,"Male","",2.72725
"17",0,4383,"F","M","Josh learned to ride a bike yesterday","annoyed","16","NonProj",0.76,21,54,"English","Yes",0,"Male","",2.72725
"18",0,3751,"M","F","Mia drank 2 cocktails last night","discover","6","NonProj",0.85,22,54,"English","Yes",0,"Male","",2.72725
"19",0,3823,"F","F","Danny ate the last cupcake","say","11","C",0.1,23,54,"English","Yes",0,"Male","",2.72725
"20",0,3440,"F","M","Jon walks to work","know","19","NonProj",0.89,24,54,"English","Yes",0,"Male","",2.72725
"21",0,4735,"M","M","Sophia got a tattoo","think","5","NonProj",0.12,25,54,"English","Yes",0,"Male","",2.72725
"22",0,3120,NA,"F","Madison closed the window","control_bad","control_bad3","control",0.01,26,54,"English","Yes",0,"Male","",2.72725
"23",0,2985,NA,"M","the window broke","control_good","control_good2","control",1,27,54,"English","Yes",0,"Male","",2.72725
"24",0,4606,"M","F","Zoe calculated the tip","inform_Sam","10","C",0.71,28,54,"English","Yes",0,"Male","",2.72725
"25",0,3400,NA,"F","Frederick solved the problem","control_good","control_good3","control",0.99,29,54,"English","Yes",0,"Male","",2.72725
"26",0,3424,"M","F","Isabella ate a steak on Sunday","confirm","7","C",0.79,30,54,"English","Yes",0,"Male","",2.72725
