"","X","workerid","rt","subjectGender","speakerGender","content","verb","contentNr","trigger_class","response","slide_number_in_experiment","age","language","asses","american","gender","comments","Answer.time_in_minutes","predicateClause"
"1",1,0,4157,"F","F","Owen shoveled snow last winter","suggest","17","C",0.41,5,30,"English","Yes",0,"Male","",1.94648333333333,"suggest.Owen shoveled snow last winter"
"2",2,0,2769,"F","M","Jayden rented a car","pretend","14","NonProj",0.34,6,30,"English","Yes",0,"Male","",1.94648333333333,"pretend.Jayden rented a car"
"3",3,0,3284,"F","M","Jackson ran 10 miles","hear","13","C",0.47,7,30,"English","Yes",0,"Male","",1.94648333333333,"hear.Jackson ran 10 miles"
"4",4,0,2390,"M","M","Mia drank 2 cocktails last night","know","6","NonProj",0.91,8,30,"English","Yes",0,"Male","",1.94648333333333,"know.Mia drank 2 cocktails last night"
"5",5,0,2225,"M","M","Zoe calculated the tip","discover","10","NonProj",0.95,9,30,"English","Yes",0,"Male","",1.94648333333333,"discover.Zoe calculated the tip"
"6",6,0,2271,"F","F","Tony had a drink last night","think","15","NonProj",0.39,10,30,"English","Yes",0,"Male","",1.94648333333333,"think.Tony had a drink last night"
"7",7,0,2471,"M","M","Josie went on vacation to France","see","2","NonProj",0.94,11,30,"English","Yes",0,"Male","",1.94648333333333,"see.Josie went on vacation to France"
"8",8,0,4786,"F","F","Julian dances salsa","announce","18","C",0.92,12,30,"English","Yes",0,"Male","",1.94648333333333,"announce.Julian dances salsa"
"10",10,0,7867,"F","F","Frank got a cat","demonstrate","12","C",0.4,14,30,"English","Yes",0,"Male","",1.94648333333333,"demonstrate.Frank got a cat"
"11",11,0,3850,"F","M","Jon walks to work","be_annoyed","19","NonProj",0.97,15,30,"English","Yes",0,"Male","",1.94648333333333,"annoyed.Jon walks to work"
"12",12,0,5543,"M","F","Emma studied on Saturday morning","acknowledge","3","C",0.48,16,30,"English","Yes",0,"Male","",1.94648333333333,"acknowledge.Emma studied on Saturday morning"
"13",13,0,3006,"F","F","Josh learned to ride a bike yesterday","say","16","C",0.28,17,30,"English","Yes",0,"Male","",1.94648333333333,"say.Josh learned to ride a bike yesterday"
"14",14,0,2246,"F","F","Danny ate the last cupcake","be_right","11","C",1,18,30,"English","Yes",0,"Male","",1.94648333333333,"be_right_that.Danny ate the last cupcake"
"15",15,0,1845,"M","F","Mary is pregnant","confirm","1","C",1,19,30,"English","Yes",0,"Male","",1.94648333333333,"confirm.Mary is pregnant"
"16",16,0,1907,"M","F","Grace visited her sister","prove","9","C",1,20,30,"English","Yes",0,"Male","",1.94648333333333,"prove.Grace visited her sister"
"22",22,0,3702,"M","F","Sophia got a tattoo","establish","5","NonProj",0.71,26,30,"English","Yes",0,"Male","",1.94648333333333,"establish.Sophia got a tattoo"
"23",23,0,2931,"M","F","Emily bought a car yesterday","inform","8","C",0.59,27,30,"English","Yes",0,"Male","",1.94648333333333,"inform_Sam.Emily bought a car yesterday"
"24",24,0,2846,"M","F","Olivia sleeps until noon","reveal","4","NonProj",0.8,28,30,"English","Yes",0,"Male","",1.94648333333333,"reveal.Olivia sleeps until noon"
"25",25,0,2077,"M","M","Isabella ate a steak on Sunday","admit","7","C",0.84,29,30,"English","Yes",0,"Male","",1.94648333333333,"admit.Isabella ate a steak on Sunday"
"26",26,0,2348,"F","M","Charley speaks Spanish","confess","20","C",0.98,30,30,"English","Yes",0,"Male","",1.94648333333333,"confess.Charley speaks Spanish"
"30",58,2,4300,"F","F","Owen shoveled snow last winter","announce","17","C",1,6,27,"English","Yes",0,"Male","",3.39668333333333,"announce.Owen shoveled snow last winter"
"31",59,2,4566,"F","M","Charley speaks Spanish","reveal","20","NonProj",1,7,27,"English","Yes",0,"Male","",3.39668333333333,"reveal.Charley speaks Spanish"
"32",60,2,3974,"M","M","Josie went on vacation to France","admit","2","C",1,8,27,"English","Yes",0,"Male","",3.39668333333333,"admit.Josie went on vacation to France"
"34",62,2,6444,"M","M","Zoe calculated the tip","inform","10","C",1,10,27,"English","Yes",0,"Male","",3.39668333333333,"inform_Sam.Zoe calculated the tip"
"35",63,2,5673,"M","M","Emily bought a car yesterday","demonstrate","8","C",1,11,27,"English","Yes",0,"Male","",3.39668333333333,"demonstrate.Emily bought a car yesterday"
"37",65,2,4338,"M","F","Olivia sleeps until noon","establish","4","NonProj",1,13,27,"English","Yes",0,"Male","",3.39668333333333,"establish.Olivia sleeps until noon"
