"","workerid","rt","content","subjectGender","speakerGender","verb","contentNr","trigger_class","response","slide_number_in_experiment","age","language","american","gender","comments","Answer.time_in_minutes"
"1",0,7787,"Vanessa looked into the mirror",NA,"F","control_good","control_good4","control","Yes",5,"65","English",0,"Male","It was very interesting to do the experiment.",2.05323333333333
"2",0,2641,"Frederick solved the problem",NA,"F","control_good","control_good3","control","Yes",6,"65","English",0,"Male","It was very interesting to do the experiment.",2.05323333333333
"3",0,1444,"Emma studied on Saturday morning","M","F","admit","3","C","Yes",7,"65","English",0,"Male","It was very interesting to do the experiment.",2.05323333333333
"4",0,1400,"Emily bought a car yesterday","M","M","confess","8","C","Yes",8,"65","English",0,"Male","It was very interesting to do the experiment.",2.05323333333333
"5",0,1407,"Josie went on vacation to France","M","F","confirm","2","C","Yes",9,"65","English",0,"Male","It was very interesting to do the experiment.",2.05323333333333
"6",0,5816,"Isabella ate a steak on Sunday","M","F","think","7","NonProj","Yes",10,"65","English",0,"Male","It was very interesting to do the experiment.",2.05323333333333
"7",0,5478,"Madison closed the window",NA,"F","control_bad","control_bad3","control","No",11,"65","English",0,"Male","It was very interesting to do the experiment.",2.05323333333333
"8",0,3432,"Mary is pregnant","M","F","pretend","1","NonProj","Yes",12,"65","English",0,"Male","It was very interesting to do the experiment.",2.05323333333333
"9",0,2113,"Charley speaks Spanish","F","F","be_right_that","20","C","Yes",13,"65","English",0,"Male","It was very interesting to do the experiment.",2.05323333333333
"10",0,4577,"the apartment has a balcony",NA,"M","control_bad","control_bad2","control","Yes",14,"65","English",0,"Male","It was very interesting to do the experiment.",2.05323333333333
"11",0,3302,"Tony had a drink last night","F","F","inform_Sam","15","C","Yes",15,"65","English",0,"Male","It was very interesting to do the experiment.",2.05323333333333
"12",0,1808,"Jackson ran 10 miles","F","F","demonstrate","13","C","Yes",16,"65","English",0,"Male","It was very interesting to do the experiment.",2.05323333333333
"13",0,3586,"Zack owns a car",NA,"M","control_good","control_good1","control","Yes",17,"65","English",0,"Male","It was very interesting to do the experiment.",2.05323333333333
"14",0,3285,"Jon walks to work","F","M","prove","19","C","Yes",18,"65","English",0,"Male","It was very interesting to do the experiment.",2.05323333333333
"15",0,3425,"Frank got a cat","F","M","annoyed","12","NonProj","Yes",19,"65","English",0,"Male","It was very interesting to do the experiment.",2.05323333333333
"16",0,3679,"Sebastian did really well on the exam",NA,"F","control_bad","control_bad4","control","No",20,"65","English",0,"Male","It was very interesting to do the experiment.",2.05323333333333
"17",0,3728,"Danny ate the last cupcake","F","M","acknowledge","11","C","Yes",21,"65","English",0,"Male","It was very interesting to do the experiment.",2.05323333333333
"18",0,6415,"Sophia got a tattoo","M","F","say","5","C","Yes",22,"65","English",0,"Male","It was very interesting to do the experiment.",2.05323333333333
"19",0,3951,"Julian dances salsa","F","M","reveal","18","NonProj","Yes",23,"65","English",0,"Male","It was very interesting to do the experiment.",2.05323333333333
"20",0,2248,"Zoe calculated the tip","M","M","hear","10","C","Yes",24,"65","English",0,"Male","It was very interesting to do the experiment.",2.05323333333333
"21",0,3570,"Josh learned to ride a bike yesterday","F","F","establish","16","NonProj","Yes",25,"65","English",0,"Male","It was very interesting to do the experiment.",2.05323333333333
"22",0,2368,"Grace visited her sister","M","F","suggest","9","C","Yes",26,"65","English",0,"Male","It was very interesting to do the experiment.",2.05323333333333
"23",0,2543,"Jayden rented a car","F","M","discover","14","NonProj","Yes",27,"65","English",0,"Male","It was very interesting to do the experiment.",2.05323333333333
"24",0,3160,"Olivia sleeps until noon","M","M","know","4","NonProj","Yes",28,"65","English",0,"Male","It was very interesting to do the experiment.",2.05323333333333
"25",0,2569,"Owen shoveled snow last winter","F","F","announce","17","C","Yes",29,"65","English",0,"Male","It was very interesting to do the experiment.",2.05323333333333
"26",0,1912,"the window broke",NA,"M","control_good","control_good2","control","Yes",30,"65","English",0,"Male","It was very interesting to do the experiment.",2.05323333333333
"27",0,33624,"Dana wears a wig",NA,"F","control_bad","control_bad1","control","No",31,"65","English",0,"Male","It was very interesting to do the experiment.",2.05323333333333
"28",0,1926,"Mia drank 2 cocktails last night","M","M","see","6","NonProj","Yes",32,"65","English",0,"Male","It was very interesting to do the experiment.",2.05323333333333
"29",1,6671,"Vanessa looked into the mirror",NA,"M","control_good","control_good4","control","Yes",5,"44","english",0,"Female","I thought it was interesting, challenging and very fair.",3.17678333333333
"30",1,5413,"Dana wears a wig",NA,"M","control_bad","control_bad1","control","No",6,"44","english",0,"Female","I thought it was interesting, challenging and very fair.",3.17678333333333
"31",1,7158,"Zoe calculated the tip","M","M","inform_Sam","10","C","Yes",7,"44","english",0,"Female","I thought it was interesting, challenging and very fair.",3.17678333333333
"32",1,5390,"Frederick solved the problem",NA,"M","control_good","control_good3","control","Yes",8,"44","english",0,"Female","I thought it was interesting, challenging and very fair.",3.17678333333333
"33",1,6210,"Frank got a cat","F","M","confirm","12","C","Yes",9,"44","english",0,"Female","I thought it was interesting, challenging and very fair.",3.17678333333333
"34",1,5966,"Grace visited her sister","M","F","think","9","NonProj","No",10,"44","english",0,"Female","I thought it was interesting, challenging and very fair.",3.17678333333333
"35",1,5046,"Josie went on vacation to France","M","F","admit","2","C","Yes",11,"44","english",0,"Female","I thought it was interesting, challenging and very fair.",3.17678333333333
"36",1,6280,"the window broke",NA,"M","control_good","control_good2","control","Yes",12,"44","english",0,"Female","I thought it was interesting, challenging and very fair.",3.17678333333333
"37",1,7321,"Owen shoveled snow last winter","F","F","pretend","17","NonProj","No",13,"44","english",0,"Female","I thought it was interesting, challenging and very fair.",3.17678333333333
"38",1,5606,"Charley speaks Spanish","F","M","know","20","NonProj","Yes",14,"44","english",0,"Female","I thought it was interesting, challenging and very fair.",3.17678333333333
"39",1,4272,"Mary is pregnant","M","M","see","1","NonProj","Yes",15,"44","english",0,"Female","I thought it was interesting, challenging and very fair.",3.17678333333333
"40",1,7776,"Jayden rented a car","F","M","demonstrate","14","C","Yes",16,"44","english",0,"Female","I thought it was interesting, challenging and very fair.",3.17678333333333
"41",1,4643,"Mia drank 2 cocktails last night","M","M","establish","6","NonProj","Yes",17,"44","english",0,"Female","I thought it was interesting, challenging and very fair.",3.17678333333333
"42",1,7934,"Olivia sleeps until noon","M","M","announce","4","C","Yes",18,"44","english",0,"Female","I thought it was interesting, challenging and very fair.",3.17678333333333
"43",1,6375,"Julian dances salsa","F","M","hear","18","C","No",19,"44","english",0,"Female","I thought it was interesting, challenging and very fair.",3.17678333333333
"44",1,4481,"the apartment has a balcony",NA,"M","control_bad","control_bad2","control","No",20,"44","english",0,"Female","I thought it was interesting, challenging and very fair.",3.17678333333333
"45",1,4677,"Madison closed the window",NA,"F","control_bad","control_bad3","control","No",21,"44","english",0,"Female","I thought it was interesting, challenging and very fair.",3.17678333333333
"46",1,5112,"Sebastian did really well on the exam",NA,"M","control_bad","control_bad4","control","No",22,"44","english",0,"Female","I thought it was interesting, challenging and very fair.",3.17678333333333
"47",1,10142,"Josh learned to ride a bike yesterday","F","F","annoyed","16","NonProj","Yes",23,"44","english",0,"Female","I thought it was interesting, challenging and very fair.",3.17678333333333
"48",1,3953,"Jon walks to work","F","M","be_right_that","19","C","Yes",24,"44","english",0,"Female","I thought it was interesting, challenging and very fair.",3.17678333333333
"49",1,5985,"Danny ate the last cupcake","F","F","confess","11","C","Yes",25,"44","english",0,"Female","I thought it was interesting, challenging and very fair.",3.17678333333333
"50",1,4319,"Jackson ran 10 miles","F","F","discover","13","NonProj","Yes",26,"44","english",0,"Female","I thought it was interesting, challenging and very fair.",3.17678333333333
"51",1,4950,"Emily bought a car yesterday","M","M","reveal","8","NonProj","Yes",27,"44","english",0,"Female","I thought it was interesting, challenging and very fair.",3.17678333333333
"52",1,14065,"Isabella ate a steak on Sunday","M","F","prove","7","C","Yes",28,"44","english",0,"Female","I thought it was interesting, challenging and very fair.",3.17678333333333
"53",1,24776,"Zack owns a car",NA,"F","control_good","control_good1","control","Yes",29,"44","english",0,"Female","I thought it was interesting, challenging and very fair.",3.17678333333333
"54",1,3343,"Sophia got a tattoo","M","M","suggest","5","C","No",30,"44","english",0,"Female","I thought it was interesting, challenging and very fair.",3.17678333333333
"55",1,8368,"Tony had a drink last night","F","F","say","15","C","Yes",31,"44","english",0,"Female","I thought it was interesting, challenging and very fair.",3.17678333333333
"56",1,4375,"Emma studied on Saturday morning","M","F","acknowledge","3","C","Yes",32,"44","english",0,"Female","I thought it was interesting, challenging and very fair.",3.17678333333333
"57",2,5669,"Mia drank 2 cocktails last night","M","M","hear","6","C","No",5,"36","English",0,"Male","",3.66616666666667
"58",2,4050,"the apartment has a balcony",NA,"F","control_bad","control_bad2","control","No",6,"36","English",0,"Male","",3.66616666666667
"59",2,9548,"Jayden rented a car","F","F","establish","14","NonProj","No",7,"36","English",0,"Male","",3.66616666666667
"60",2,5798,"Frank got a cat","F","M","prove","12","C","Yes",8,"36","English",0,"Male","",3.66616666666667
"61",2,4382,"Danny ate the last cupcake","F","F","say","11","C","No",9,"36","English",0,"Male","",3.66616666666667
"62",2,7640,"Josh learned to ride a bike yesterday","F","F","admit","16","C","Yes",10,"36","English",0,"Male","",3.66616666666667
"63",2,5935,"Vanessa looked into the mirror",NA,"M","control_good","control_good4","control","Yes",11,"36","English",0,"Male","",3.66616666666667
"64",2,4288,"Sophia got a tattoo","M","F","be_right_that","5","C","Yes",12,"36","English",0,"Male","",3.66616666666667
"65",2,61060,"Josie went on vacation to France","M","M","acknowledge","2","C","Yes",13,"36","English",0,"Male","",3.66616666666667
"66",2,3667,"Isabella ate a steak on Sunday","M","F","discover","7","NonProj","Yes",14,"36","English",0,"Male","",3.66616666666667
"67",2,4280,"Charley speaks Spanish","F","M","confess","20","C","Yes",15,"36","English",0,"Male","",3.66616666666667
"68",2,4929,"Mary is pregnant","M","F","demonstrate","1","C","No",16,"36","English",0,"Male","",3.66616666666667
"69",2,9519,"Emma studied on Saturday morning","M","F","announce","3","C","Yes",17,"36","English",0,"Male","",3.66616666666667
"70",2,2735,"Jackson ran 10 miles","F","M","think","13","NonProj","No",18,"36","English",0,"Male","",3.66616666666667
"71",2,3959,"the window broke",NA,"F","control_good","control_good2","control","Yes",19,"36","English",0,"Male","",3.66616666666667
"72",2,5751,"Madison closed the window",NA,"F","control_bad","control_bad3","control","No",20,"36","English",0,"Male","",3.66616666666667
"73",2,3383,"Zoe calculated the tip","M","M","suggest","10","C","No",21,"36","English",0,"Male","",3.66616666666667
"74",2,5431,"Sebastian did really well on the exam",NA,"F","control_bad","control_bad4","control","No",22,"36","English",0,"Male","",3.66616666666667
"75",2,6040,"Owen shoveled snow last winter","F","F","annoyed","17","NonProj","Yes",23,"36","English",0,"Male","",3.66616666666667
"76",2,4286,"Jon walks to work","F","F","know","19","NonProj","Yes",24,"36","English",0,"Male","",3.66616666666667
"77",2,2984,"Emily bought a car yesterday","M","M","reveal","8","NonProj","Yes",25,"36","English",0,"Male","",3.66616666666667
"78",2,23504,"Julian dances salsa","F","F","inform_Sam","18","C","Yes",26,"36","English",0,"Male","",3.66616666666667
"79",2,4217,"Grace visited her sister","M","M","see","9","NonProj","Yes",27,"36","English",0,"Male","",3.66616666666667
"80",2,3525,"Tony had a drink last night","F","M","confirm","15","C","Yes",28,"36","English",0,"Male","",3.66616666666667
"81",2,6552,"Zack owns a car",NA,"F","control_good","control_good1","control","Yes",29,"36","English",0,"Male","",3.66616666666667
"82",2,3879,"Olivia sleeps until noon","M","F","pretend","4","NonProj","No",30,"36","English",0,"Male","",3.66616666666667
"83",2,3008,"Dana wears a wig",NA,"F","control_bad","control_bad1","control","No",31,"36","English",0,"Male","",3.66616666666667
"84",2,9951,"Frederick solved the problem",NA,"M","control_good","control_good3","control","Yes",32,"36","English",0,"Male","",3.66616666666667
"113",4,5271,"Sebastian did really well on the exam",NA,"M","control_bad","control_bad4","control","No",5,"29","English",0,"Female","Fun study",2.95286666666667
