"workerid","rt","subjectGender","speakerGender","speakerName","content","subjectName","verb","contentNr","trigger_class","response","slide_number_in_experiment"
"A3NIMMH8BPO4BR",7787,NA,"F","Carol","Vanessa looked into the mirror",NA,"control_good","control_good4","control","Yes",5
"A3NIMMH8BPO4BR",2641,NA,"F","Sandra","Frederick solved the problem",NA,"control_good","control_good3","control","Yes",6
"A3NIMMH8BPO4BR",1444,"M","F","Michelle","Emma studied on Saturday morning","Larry","admit","3","C","Yes",7
"A3NIMMH8BPO4BR",1400,"M","M","James","Emily bought a car yesterday","Ryan","confess","8","C","Yes",8
"A3NIMMH8BPO4BR",1407,"M","F","Sandra","Josie went on vacation to France","Timothy","confirm","2","C","Yes",9
"A3NIMMH8BPO4BR",5816,"M","F","Nancy","Isabella ate a steak on Sunday","Eric","think","7","NonProj","Yes",10
"A3NIMMH8BPO4BR",5478,NA,"F","Lisa","Madison closed the window",NA,"control_bad","control_bad3","control","No",11
"A3NIMMH8BPO4BR",3432,"M","F","Kimberly","Mary is pregnant","Gary","pretend","1","NonProj","Yes",12
"A3NIMMH8BPO4BR",2113,"F","F","Lisa","Charley speaks Spanish","Heather","be_right_that","20","C","Yes",13
"A3NIMMH8BPO4BR",4577,NA,"M","Kenneth","the apartment has a balcony",NA,"control_bad","control_bad2","control","Yes",14
"A3NIMMH8BPO4BR",3302,"F","F","Linda","Tony had a drink last night","Diane","inform_Sam","15","C","Yes",15
"A3NIMMH8BPO4BR",1808,"F","F","Carol","Jackson ran 10 miles","Virginia","demonstrate","13","C","Yes",16
"A3NIMMH8BPO4BR",3586,NA,"M","Thomas","Zack owns a car",NA,"control_good","control_good1","control","Yes",17
"A3NIMMH8BPO4BR",3285,"F","M","Mark","Jon walks to work","Amy","prove","19","C","Yes",18
"A3NIMMH8BPO4BR",3425,"F","M","Matthew","Frank got a cat","Rebecca","annoyed","12","NonProj","Yes",19
"A3NIMMH8BPO4BR",3679,NA,"F","Margaret","Sebastian did really well on the exam",NA,"control_bad","control_bad4","control","No",20
"A3NIMMH8BPO4BR",3728,"F","M","William","Danny ate the last cupcake","Amanda","acknowledge","11","C","Yes",21
"A3NIMMH8BPO4BR",6415,"M","F","Margaret","Sophia got a tattoo","Edward","say","5","C","Yes",22
"A3NIMMH8BPO4BR",3951,"F","M","Christopher","Julian dances salsa","Kathleen","reveal","18","NonProj","Yes",23
"A3NIMMH8BPO4BR",2248,"M","M","Thomas","Zoe calculated the tip","Andrew","hear","10","C","Yes",24
"A3NIMMH8BPO4BR",3570,"F","F","Donna","Josh learned to ride a bike yesterday","Angela","establish","16","NonProj","Yes",25
"A3NIMMH8BPO4BR",2368,"M","F","Jennifer","Grace visited her sister","Justin","suggest","9","C","Yes",26
"A3NIMMH8BPO4BR",2543,"F","M","Richard","Jayden rented a car","Melissa","discover","14","NonProj","Yes",27
"A3NIMMH8BPO4BR",3160,"M","M","George","Olivia sleeps until noon","Nicholas","know","4","NonProj","Yes",28
"A3NIMMH8BPO4BR",2569,"F","F","Karen","Owen shoveled snow last winter","Sharon","announce","17","C","Yes",29
"A3NIMMH8BPO4BR",1912,NA,"M","Richard","the window broke",NA,"control_good","control_good2","control","Yes",30
"A3NIMMH8BPO4BR",33624,NA,"F","Donna","Dana wears a wig",NA,"control_bad","control_bad1","control","No",31
"A3NIMMH8BPO4BR",1926,"M","M","Kenneth","Mia drank 2 cocktails last night","Jerry","see","6","NonProj","Yes",32
"A17N3LOP5HGSQ8",6671,NA,"M","Steven","Vanessa looked into the mirror",NA,"control_good","control_good4","control","Yes",5
"A17N3LOP5HGSQ8",5413,NA,"M","James","Dana wears a wig",NA,"control_bad","control_bad1","control","No",6
"A17N3LOP5HGSQ8",7158,"M","M","Paul","Zoe calculated the tip","Alexander","inform_Sam","10","C","Yes",7
"A17N3LOP5HGSQ8",5390,NA,"M","David","Frederick solved the problem",NA,"control_good","control_good3","control","Yes",8
"A17N3LOP5HGSQ8",6210,"F","M","Matthew","Frank got a cat","Sharon","confirm","12","C","Yes",9
"A17N3LOP5HGSQ8",5966,"M","F","Carol","Grace visited her sister","Edward","think","9","NonProj","No",10
"A17N3LOP5HGSQ8",5046,"M","F","Donna","Josie went on vacation to France","Justin","admit","2","C","Yes",11
"A17N3LOP5HGSQ8",6280,NA,"M","William","the window broke",NA,"control_good","control_good2","control","Yes",12
"A17N3LOP5HGSQ8",7321,"F","F","Betty","Owen shoveled snow last winter","Virginia","pretend","17","NonProj","No",13
"A17N3LOP5HGSQ8",5606,"F","M","Mark","Charley speaks Spanish","Amy","know","20","NonProj","Yes",14
"A17N3LOP5HGSQ8",4272,"M","M","Steven","Mary is pregnant","Gregory","see","1","NonProj","Yes",15
"A17N3LOP5HGSQ8",7776,"F","M","William","Jayden rented a car","Nicole","demonstrate","14","C","Yes",16
"A17N3LOP5HGSQ8",4643,"M","M","Richard","Mia drank 2 cocktails last night","Gary","establish","6","NonProj","Yes",17
"A17N3LOP5HGSQ8",7934,"M","M","Thomas","Olivia sleeps until noon","Kevin","announce","4","C","Yes",18
"A17N3LOP5HGSQ8",6375,"F","M","David","Julian dances salsa","Anna","hear","18","C","No",19
"A17N3LOP5HGSQ8",4481,NA,"M","Kenneth","the apartment has a balcony",NA,"control_bad","control_bad2","control","No",20
"A17N3LOP5HGSQ8",4677,NA,"F","Betty","Madison closed the window",NA,"control_bad","control_bad3","control","No",21
"A17N3LOP5HGSQ8",5112,NA,"M","Paul","Sebastian did really well on the exam",NA,"control_bad","control_bad4","control","No",22
"A17N3LOP5HGSQ8",10142,"F","F","Michelle","Josh learned to ride a bike yesterday","Kathleen","annoyed","16","NonProj","Yes",23
"A17N3LOP5HGSQ8",3953,"F","M","James","Jon walks to work","Christina","be_right_that","19","C","Yes",24
"A17N3LOP5HGSQ8",5985,"F","F","Linda","Danny ate the last cupcake","Melissa","confess","11","C","Yes",25
"A17N3LOP5HGSQ8",4319,"F","F","Karen","Jackson ran 10 miles","Ruth","discover","13","NonProj","Yes",26
"A17N3LOP5HGSQ8",4950,"M","M","Kenneth","Emily bought a car yesterday","Jacob","reveal","8","NonProj","Yes",27
"A17N3LOP5HGSQ8",14065,"M","F","Jennifer","Isabella ate a steak on Sunday","Andrew","prove","7","C","Yes",28
"A17N3LOP5HGSQ8",24776,NA,"F","Linda","Zack owns a car",NA,"control_good","control_good1","control","Yes",29
"A17N3LOP5HGSQ8",3343,"M","M","Christopher","Sophia got a tattoo","Eric","suggest","5","C","No",30
"A17N3LOP5HGSQ8",8368,"F","F","Elizabeth","Tony had a drink last night","Stephanie","say","15","C","Yes",31
"A17N3LOP5HGSQ8",4375,"M","F","Nancy","Emma studied on Saturday morning","Ronald","acknowledge","3","C","Yes",32
"A175PJR0W3LO8I",5669,"M","M","Richard","Mia drank 2 cocktails last night","Scott","hear","6","C","No",5
"A175PJR0W3LO8I",4050,NA,"F","Jessica","the apartment has a balcony",NA,"control_bad","control_bad2","control","No",6
"A175PJR0W3LO8I",9548,"F","F","Ashley","Jayden rented a car","Virginia","establish","14","NonProj","No",7
"A175PJR0W3LO8I",5798,"F","M","William","Frank got a cat","Kathleen","prove","12","C","Yes",8
"A175PJR0W3LO8I",4382,"F","F","Jessica","Danny ate the last cupcake","Diane","say","11","C","No",9
"A175PJR0W3LO8I",7640,"F","F","Elizabeth","Josh learned to ride a bike yesterday","Christina","admit","16","C","Yes",10
"A175PJR0W3LO8I",5935,NA,"M","William","Vanessa looked into the mirror",NA,"control_good","control_good4","control","Yes",11
"A175PJR0W3LO8I",4288,"M","F","Carol","Sophia got a tattoo","Ronald","be_right_that","5","C","Yes",12
"A175PJR0W3LO8I",61060,"M","M","Kenneth","Josie went on vacation to France","Jacob","acknowledge","2","C","Yes",13
"A175PJR0W3LO8I",3667,"M","F","Nancy","Isabella ate a steak on Sunday","Patrick","discover","7","NonProj","Yes",14
"A175PJR0W3LO8I",4280,"F","M","Thomas","Charley speaks Spanish","Cynthia","confess","20","C","Yes",15
"A175PJR0W3LO8I",4929,"M","F","Margaret","Mary is pregnant","Brian","demonstrate","1","C","No",16
"A175PJR0W3LO8I",9519,"M","F","Sandra","Emma studied on Saturday morning","Alexander","announce","3","C","Yes",17
"A175PJR0W3LO8I",2735,"F","M","Christopher","Jackson ran 10 miles","Carolyn","think","13","NonProj","No",18
"A175PJR0W3LO8I",3959,NA,"F","Nancy","the window broke",NA,"control_good","control_good2","control","Yes",19
"A175PJR0W3LO8I",5751,NA,"F","Jennifer","Madison closed the window",NA,"control_bad","control_bad3","control","No",20
"A175PJR0W3LO8I",3383,"M","M","David","Zoe calculated the tip","Eric","suggest","10","C","No",21
"A175PJR0W3LO8I",5431,NA,"F","Karen","Sebastian did really well on the exam",NA,"control_bad","control_bad4","control","No",22
"A175PJR0W3LO8I",6040,"F","F","Jennifer","Owen shoveled snow last winter","Shirley","annoyed","17","NonProj","Yes",23
"A175PJR0W3LO8I",4286,"F","F","Karen","Jon walks to work","Ruth","know","19","NonProj","Yes",24
"A175PJR0W3LO8I",2984,"M","M","Robert","Emily bought a car yesterday","Justin","reveal","8","NonProj","Yes",25
"A175PJR0W3LO8I",23504,"F","F","Michelle","Julian dances salsa","Melissa","inform_Sam","18","C","Yes",26
"A175PJR0W3LO8I",4217,"M","M","George","Grace visited her sister","Timothy","see","9","NonProj","Yes",27
"A175PJR0W3LO8I",3525,"F","M","James","Tony had a drink last night","Julie","confirm","15","C","Yes",28
"A175PJR0W3LO8I",6552,NA,"F","Ashley","Zack owns a car",NA,"control_good","control_good1","control","Yes",29
"A175PJR0W3LO8I",3879,"M","F","Donna","Olivia sleeps until noon","Kevin","pretend","4","NonProj","No",30
"A175PJR0W3LO8I",3008,NA,"F","Carol","Dana wears a wig",NA,"control_bad","control_bad1","control","No",31
"A175PJR0W3LO8I",9951,NA,"M","Christopher","Frederick solved the problem",NA,"control_good","control_good3","control","Yes",32
"A2MR1H3PV0EDDR",1551,"F","F","Linda","Jon walks to work","Brenda","suggest","19","C","Yes",5
"A2MR1H3PV0EDDR",1078,NA,"F","Dorothy","the window broke",NA,"control_good","control_good2","control","No",6
"A2MR1H3PV0EDDR",1040,"F","F","Sarah","Tony had a drink last night","Laura","announce","15","C","Yes",7
"A2MR1H3PV0EDDR",1264,"F","F","Karen","Josh learned to ride a bike yesterday","Amy","say","16","C","No",8
"A2MR1H3PV0EDDR",1760,"M","M","Steven","Emma studied on Saturday morning","Gregory","acknowledge","3","C","Yes",9
"A2MR1H3PV0EDDR",848,"F","F","Michelle","Danny ate the last cupcake","Carolyn","think","11","NonProj","No",10
"A2MR1H3PV0EDDR",887,NA,"F","Jennifer","Sebastian did really well on the exam",NA,"control_bad","control_bad4","control","Yes",11
"A2MR1H3PV0EDDR",911,"F","M","Kenneth","Frank got a cat","Amanda","see","12","NonProj","No",12
"A2MR1H3PV0EDDR",832,"M","M","James","Olivia sleeps until noon","Scott","confirm","4","C","Yes",13
"A2MR1H3PV0EDDR",1032,NA,"M","Robert","Madison closed the window",NA,"control_bad","control_bad3","control","No",14
"A2MR1H3PV0EDDR",1128,"F","F","Lisa","Jayden rented a car","Rebecca","reveal","14","NonProj","Yes",15
"A2MR1H3PV0EDDR",888,"M","M","Thomas","Sophia got a tattoo","Nicholas","discover","5","NonProj","No",16
"A2MR1H3PV0EDDR",816,"F","F","Margaret","Charley speaks Spanish","Heather","demonstrate","20","C","Yes",17
"A2MR1H3PV0EDDR",1143,"F","M","Robert","Jackson ran 10 miles","Kathleen","admit","13","C","No",18
"A2MR1H3PV0EDDR",791,"F","M","David","Julian dances salsa","Anna","know","18","NonProj","Yes",19
"A2MR1H3PV0EDDR",919,"F","M","Christopher","Owen shoveled snow last winter","Nicole","prove","17","C","No",20
"A2MR1H3PV0EDDR",785,"M","F","Betty","Mary is pregnant","Kevin","establish","1","NonProj","Yes",21
"A2MR1H3PV0EDDR",919,"M","F","Ashley","Mia drank 2 cocktails last night","Justin","annoyed","6","NonProj","No",22
"A2MR1H3PV0EDDR",776,"M","M","William","Grace visited her sister","Brian","hear","9","C","Yes",23
"A2MR1H3PV0EDDR",792,"M","F","Helen","Josie went on vacation to France","Jeffrey","inform_Sam","2","C","No",24
